sample,rtt_us
455,79616.300
456,75423.700
457,77202.400
458,77229.800
459,73548.700
460,74258.800
461,80672.100
462,72562.500
463,77680.300
464,73141.500
465,75153.500
466,75904.600
467,77243.100
468,75720.500
469,74856.800
470,79641.300
471,77448.000
472,74647.600
473,76269.700
474,74889.600
475,79109.800
476,87122.100
477,75295.800
478,76904.500
479,89014.000
480,91516.300
481,75259.300
482,75947.700
483,76295.900
484,77579.300
485,74347.300
486,77512.600
487,77736.700
488,76951.900
489,103250.400
490,95072.400
491,84801.400
492,80648.800
493,79520.100
494,77099.600
495,73794.300
496,72447.000
497,88852.000
498,76011.800
499,81471.000
500,74395.300
501,75681.200
502,75148.200
503,76515.700
504,75003.800
505,75372.200
506,75467.200
507,76299.800
508,77307.600
509,75205.700
510,76912.300
511,76880.500
512,76036.700
513,76257.600
514,78665.700
515,74895.700
516,73906.100
517,76384.300
518,76696.900
519,73635.400
520,79373.400
521,75155.300
522,79314.200
523,75901.700
524,83479.400
525,76965.200
526,75319.700
527,88810.300
528,75682.500
529,79082.300
530,75968.500
531,77924.100
532,80712.600
533,73255.200
534,81516.300
535,75119.800
536,75991.300
537,76171.400
538,78990.900
539,73303.600
540,75224.600
541,76954.000
542,76108.200
543,78202.100
544,76394.800
545,96304.600
546,76186.500
547,81176.500
548,82760.300
549,71069.100
550,76891.900
551,78111.100
552,76856.300
553,72822.200
554,76317.400
555,80572.100
556,79119.700
557,76211.000
558,75100.100
559,76131.600
560,78675.000
561,73068.700
562,82218.300
563,79047.100
564,76185.000
565,75059.000
566,76962.200
567,76077.100
568,89349.700
569,73628.700
570,76820.000
571,75914.600
572,82473.000
573,74216.100
574,77747.300
575,85772.800
576,79284.100
577,77801.300
578,76381.500
579,73574.100
580,77911.500
581,81276.600
582,77554.200
583,88950.800
584,76748.000
585,84032.400
586,83219.200
587,73347.000
588,76065.400
589,77501.100
590,76463.700
591,73621.100
592,80564.700
593,72044.000
594,76690.800
595,77157.900
596,77339.400
597,75587.100
598,74239.400
599,76004.300
600,78658.600
601,73550.400
602,74611.300
603,76665.000
604,74412.500
605,75752.600
606,76312.100
607,76992.600
608,78580.400
609,95049.200
610,80343.800
611,87719.900
612,77289.600
613,98218.900
614,76315.400
615,77109.700
616,74506.600
617,78130.900
618,74171.000
619,77264.700
620,74125.200
621,75085.000
622,77683.600
623,74264.500
624,77490.700
625,73314.400
626,76697.200
627,78254.100
628,75969.100
629,75365.800
630,76159.400
631,77588.900
632,76613.300
633,72321.800
634,77467.800
635,77559.100
636,75312.000
637,73642.600
638,76135.700
639,77996.500
640,74041.600
641,77028.300
642,78238.400
643,74093.300
644,78882.900
645,73614.100
646,75754.500
647,75017.700
648,76441.000
649,79312.700
650,70456.700
651,75107.400
652,76921.300
653,75864.900
654,74407.300
655,74935.500
656,75142.400
657,75520.600
658,77235.600
659,73058.700
660,75199.300
661,75699.500
662,93360.000
663,76486.300
664,74766.000
665,75577.700
666,82410.100
667,76165.300
668,80867.800
669,77404.000
670,75521.900
671,76694.700
672,77973.800
673,74344.600
674,73582.800
675,78067.200
676,80226.900
677,77278.000
678,76309.800
679,73501.200
680,80366.000
681,71980.800
682,73813.900
683,76630.900
684,80438.400
685,77594.700
686,75759.900
687,75756.000
688,74693.600
689,75995.200
690,76509.100
691,74591.700
692,76103.500
693,77269.900
694,79433.100
695,90936.200
696,75184.400
697,83240.100
698,83522.100
699,77571.900
700,74358.400
701,285551.000
702,78077.900
703,77012.200
704,73398.000
705,77434.700
706,91311.900
707,76217.200
708,75730.800
709,76767.800
710,83357.600
711,76530.900
712,76546.100
713,73518.700
714,75580.300
715,77689.000
716,74972.600
717,76321.700
718,74966.500
719,77475.900
720,76370.800
721,74270.900
722,74926.900
723,75048.900
724,79219.900
725,74047.500
726,74979.800
727,77276.600
728,74315.800
729,76112.700
730,77098.700
731,75012.700
732,77572.700
733,75615.500
734,74319.500
735,76567.400
736,72565.500
737,74773.700
738,77518.700
739,74348.300
740,76993.700
741,76549.100
742,74118.100
743,87161.800
744,81809.000
745,81171.700
746,74264.700
747,77808.900
748,65444.800
749,76487.100
750,77881.900
751,77041.700
752,73695.500
753,76270.300
754,81162.200
755,76340.300
756,75658.100
757,74810.300
758,79620.100
759,72063.400
760,75912.200
761,75552.300
762,76723.700
