sample,rtt_us
455,18136.500
456,6968.700
457,6635.100
458,6788.500
459,20348.100
460,9839.900
461,10914.000
462,5198.800
463,17795.500
464,5719.800
465,10699.300
466,3641.900
467,22001.200
468,7512.900
469,20154.100
470,8271.000
471,13565.500
472,12256.200
473,28132.700
474,19234.800
475,10229.300
476,31831.300
477,35151.900
478,9694.500
479,3881.100
480,4468.800
481,13794.900
482,7289.800
483,16047.500
484,4945.100
485,15183.400
486,8184.100
487,20499.200
488,16472.400
489,9959.500
490,15460.900
491,15707.800
492,6262.200
493,4569.100
494,15969.100
495,250164.500
496,24630.400
497,205652.400
498,16265.900
499,29698.800
500,14817.900
501,6013.800
502,7165.700
503,12847.600
504,4425.600
505,21339.500
506,10696.700
507,8013.200
508,6867.200
509,6169.300
510,6259.900
511,6148.600
512,5154.400
513,10364.900
514,6777.200
515,31276.400
516,35544.900
517,4794.700
518,7464.900
519,44990.600
520,6393.000
521,10824.600
522,13259.900
523,15478.400
524,16748.000
525,21833.800
526,4584.200
527,5513.300
528,25190.500
529,5796.000
530,197203.600
531,9548.900
532,36416.500
533,9478.200
534,33860.100
535,12603.000
536,6523.500
537,3854.600
538,195782.000
539,14357.400
540,7362.300
541,8644.400
542,12595.600
543,17049.900
544,5208.100
545,3974.500
546,15948.800
547,12581.800
548,22727.400
549,8468.200
550,5990.500
551,5440.900
552,34812.400
553,5238.000
554,9292.700
555,17443.600
556,27626.000
557,5809.500
558,5370.800
559,14958.100
560,26135.900
561,6256.800
562,27661.000
563,16287.300
564,27090.500
565,155190.500
566,6679.400
567,11425.500
568,17831.800
569,25802.500
570,3946.800
571,15854.900
572,4565.400
573,13652.800
574,12271.400
575,20953.500
576,6603.300
577,24293.400
578,22533.900
579,26601.400
580,11166.700
581,23465.200
582,15950.900
583,7229.800
584,9548.300
585,51551.300
586,23525.000
587,4468.800
588,12665.200
589,6747.300
590,16526.700
591,25949.100
592,12653.500
593,188662.300
594,4749.200
595,6267.500
596,7327.600
597,190388.700
598,7003.700
599,5283.000
600,18502.100
601,21131.600
602,11975.600
603,3915.400
604,17032.000
605,4198.700
606,17661.200
607,5291.500
608,27722.200
609,13019.200
610,23556.100
611,4662.100
612,25093.100
613,20209.100
614,15992.200
615,11634.700
616,7170.300
617,8637.100
618,15048.500
619,31035.900
620,11709.600
621,38480.100
622,37232.000
623,35347.200
624,10094.500
625,16142.100
626,19354.900
627,23161.100
628,14496.100
629,22057.200
630,3830.900
631,17331.000
632,15096.200
633,8101.000
634,27058.600
635,9683.400
636,52112.500
637,11403.300
638,7350.000
639,34546.700
640,23341.400
641,11013.400
642,15623.100
643,31857.400
644,12538.800
645,10005.300
646,8443.600
647,15401.500
648,8106.500
649,8074.300
650,4784.700
651,25665.900
652,5725.800
653,28370.000
654,206655.800
655,6031.000
656,6328.600
657,17462.800
658,10175.800
659,31656.200
660,12842.400
661,10792.100
662,26667.800
663,8628.600
664,11209.400
665,4829.000
666,8321.300
667,18635.900
668,25512.700
669,8869.300
670,5029.700
671,200657.200
672,12072.400
673,9491.900
674,49967.800
675,7986.400
676,5124.900
677,3916.000
678,15954.000
679,7602.200
680,6857.000
681,7747.700
682,10475.500
683,35171.900
684,4400.000
685,5994.700
686,22047.700
687,235646.300
688,4405.100
689,4199.500
690,3756.500
691,4550.000
692,6824.500
693,3998.600
694,5002.100
695,5517.600
696,30234.900
697,18237.800
698,31956.600
699,10912.400
700,6933.700
701,19645.400
702,5756.200
703,40507.900
704,50528.000
705,7590.100
706,25492.500
707,30544.800
708,13805.200
709,5948.600
710,10625.200
711,5064.700
712,11702.000
713,5511.400
714,16421.500
715,13199.400
716,13171.200
717,21162.300
718,10095.500
719,4189.600
720,14158.900
721,29954.700
722,13351.200
723,6929.100
724,12470.400
725,8782.200
726,18393.500
727,7133.100
728,10503.400
729,35433.300
730,15159.500
731,14907.800
732,4815.300
733,6991.300
734,11316.100
735,26437.200
736,22206.100
737,15296.200
738,16816.400
739,176605.900
740,11496.500
741,13146.700
742,7089.200
743,20788.600
744,12143.600
745,11636.100
746,4933.000
747,5132.400
748,9228.700
749,13219.600
750,29710.800
751,11016.400
752,10648.900
753,23743.600
754,4472.700
755,6242.600
756,15166.600
757,13858.600
758,8501.800
759,16836.200
760,4076.600
761,6650.500
762,13358.800
763,12366.800
764,24397.400
765,4750.900
766,3721.300
767,5497.300
768,18819.800
769,14883.800
770,6666.000
771,12638.700
772,5214.500
773,7420.200
774,13563.100
775,18026.800
776,25096.800
777,9069.600
778,164835.600
779,9543.300
780,23050.500
781,5799.800
782,5886.000
783,8718.200
784,33633.300
785,30563.000
786,10308.600
787,3836.800
788,70004.300
789,5050.200
790,9849.800
791,6835.200
792,19220.400
793,12189.200
794,19397.900
795,10528.200
796,45207.600
797,33550.200
798,24533.500
799,33245.500
800,5906.700
801,16777.900
802,12801.200
803,33659.300
804,20628.300
805,13049.100
806,5238.500
807,14026.200
808,22975.300
809,4925.300
810,6641.200
811,14848.200
812,20252.400
813,16639.600
814,4883.000
815,4791.900
816,14191.200
817,10662.500
818,25165.100
819,12507.100
820,8210.200
821,7020.500
822,6017.200
823,31058.200
824,24260.600
825,168186.600
826,7983.700
827,6846.200
828,31528.400
829,38875.200
830,4513.200
831,5090.600
832,26256.600
833,14003.800
834,3740.300
835,23714.000
836,4966.700
837,25585.100
838,38283.800
839,20810.500
840,9781.400
841,15332.500
842,5546.700
843,8101.400
844,5050.600
845,4706.100
846,13009.800
847,4154.900
848,6111.700
849,4339.500
850,16475.200
851,8361.400
852,4326.000
853,4032.500
854,32375.000
855,4721.600
856,3639.100
857,5362.700
858,19283.500
859,7326.800
860,5844.600
861,19375.900
862,33591.500
863,4508.400
864,21251.100
865,5342.900
866,12011.900
867,5068.300
868,20687.200
869,19419.600
870,3908.700
871,13247.800
872,6535.500
873,6168.600
874,10198.700
875,4286.600
876,10658.000
877,185654.400
878,4661.600
879,11017.300
880,6841.600
881,10740.600
882,174591.500
883,7874.800
884,4064.000
885,6443.400
886,20080.000
887,22419.900
888,10145.100
889,10023.900
890,4182.000
891,29747.800
892,34034.700
893,7135.000
894,9722.700
895,154437.400
896,8162.300
897,4432.000
898,4390.700
899,12615.200
900,8705.500
901,21472.800
902,11002.700
903,6786.600
904,8054.700
905,4130.300
906,5950.200
907,47966.700
908,20693.300
909,27445.500
910,17938.300
911,19608.600
912,16313.700
913,35588.800
914,5507.500
915,5499.100
916,22657.100
917,196684.800
918,5101.300
919,7725.800
920,21665.600
921,20241.100
922,6943.700
923,20244.400
924,17829.800
925,17795.500
926,30779.000
927,7598.200
928,14348.800
929,25952.500
930,13232.200
931,8897.900
932,13140.400
933,4772.200
934,11062.900
935,20847.400
936,23349.200
937,4594.900
938,13712.000
939,17862.000
940,22715.900
941,9980.200
942,4399.600
943,9568.300
944,17052.500
945,26999.800
946,4963.000
947,7745.600
948,9811.600
949,43728.300
950,7382.100
951,4971.700
952,24258.200
953,19900.800
954,14520.900
955,28517.700
956,4612.800
957,139309.900
958,16428.600
959,4567.100
960,7794.900
961,5300.400
962,8261.400
963,15034.800
964,10149.600
965,11774.200
966,4334.200
967,29515.500
968,16199.700
969,17012.200
970,7751.600
971,15722.900
972,10286.600
973,7804.900
974,18562.400
975,208953.300
976,10546.400
977,9341.600
978,33722.000
979,6716.700
980,8454.500
981,7945.500
982,9268.600
983,25070.200
984,24878.500
985,4620.800
986,13839.000
987,10728.800
988,32018.700
989,13919.900
990,27460.000
991,8812.000
992,11049.900
993,9847.100
994,33194.200
995,18687.600
996,13182.000
997,5989.400
998,181763.400
999,25973.900
1000,7095.100
1001,28406.800
1002,9889.500
1003,12970.800
1004,12208.500
1005,8058.200
1006,6624.200
1007,25333.400
1008,11589.300
1009,5673.900
1010,24016.700
1011,22103.600
1012,24071.800
1013,16940.400
1014,6958.700
1015,13001.400
1016,13562.200
1017,4581.900
1018,4406.900
1019,10965.700
1020,9556.600
1021,65910.100
1022,17031.200
1023,9018.700
1024,15623.300
1025,18376.300
1026,21095.900
1027,7606.500
1028,27907.000
1029,15466.200
1030,12002.300
1031,22770.100
1032,31117.300
1033,4977.200
1034,12869.700
1035,14281.500
1036,7716.700
1037,22371.600
1038,21094.500
1039,7243.800
1040,31802.000
1041,9052.100
1042,4479.000
1043,23886.200
1044,17201.100
1045,16309.100
1046,6920.200
1047,9381.100
1048,20014.900
1049,147171.100
1050,5418.900
1051,5516.400
1052,9189.300
1053,4101.400
1054,7323.700
1055,176416.100
1056,28032.600
1057,8763.000
1058,3832.200
1059,5507.600
1060,5617.000
1061,4673.000
1062,9726.900
1063,130986.700
1064,6753.000
1065,3916.500
1066,6218.400
1067,5547.500
1068,10071.000
1069,13233.200
1070,6813.500
1071,9455.100
1072,20341.000
1073,13592.800
1074,14487.300
1075,7349.900
1076,28380.500
1077,5498.000
1078,3841.200
1079,4209.900
1080,3509.600
1081,7183.900
1082,15511.800
1083,5710.900
1084,6152.600
1085,12999.800
1086,22252.500
1087,4576.800
1088,23091.800
1089,13137.200
1090,18944.900
1091,21007.500
1092,4619.700
1093,6056.800
1094,6675.700
1095,16587.100
1096,27926.100
1097,4019.100
1098,4795.900
1099,13158.800
1100,6914.500
1101,8806.100
1102,18323.100
1103,18565.300
1104,15121.600
1105,14690.000
1106,4345.000
1107,28242.000
1108,4310.300
1109,4918.600
1110,12206.600
1111,4229.100
1112,8658.300
1113,14201.300
1114,6888.900
1115,28446.300
1116,12553.300
1117,7832.600
1118,12754.800
1119,8337.800
1120,4807.400
1121,10600.800
1122,14820.700
1123,9013.100
1124,13163.900
1125,11221.800
1126,7517.600
1127,34937.300
1128,5123.600
1129,16756.900
1130,4730.600
1131,14916.900
1132,12713.300
1133,35717.500
1134,6912.200
1135,16757.700
1136,5406.700
1137,12088.500
1138,7961.600
1139,12186.900
1140,16590.800
1141,13343.700
1142,13182.900
1143,7403.000
1144,8574.000
1145,4952.900
1146,22542.500
1147,12347.600
1148,4902.600
1149,9058.100
1150,8150.000
1151,10778.500
1152,7280.200
1153,19133.500
1154,4296.700
1155,15597.400
1156,12040.200
1157,6765.000
1158,7513.000
1159,10648.100
1160,6672.200
1161,4207.800
1162,4811.900
1163,11197.700
1164,13739.200
1165,9023.400
1166,9885.600
1167,9701.400
1168,4615.700
1169,5867.000
1170,11747.700
1171,17171.600
1172,9951.800
1173,13387.800
1174,15141.400
1175,4391.400
1176,6118.400
1177,5587.000
1178,7574.100
1179,13462.800
1180,18033.900
1181,6023.300
1182,7758.300
1183,19602.200
1184,15152.000
1185,228924.500
1186,4240.100
1187,7781.900
1188,165713.100
1189,6868.900
1190,9440.300
1191,5929.000
1192,7262.100
1193,23763.900
1194,4018.200
1195,12873.800
1196,16044.700
1197,5863.500
1198,12212.700
1199,10302.800
1200,28322.300
1201,5968.300
1202,7243.600
1203,6231.100
1204,15342.300
1205,13911.900
1206,19208.800
1207,8970.800
1208,9561.300
1209,7642.700
1210,15709.100
1211,19852.700
1212,8618.600
1213,15600.900
1214,23376.800
1215,9214.700
1216,11117.200
1217,52017.700
1218,5395.300
1219,3954.900
1220,14547.500
1221,6266.500
1222,11243.500
1223,10382.300
1224,12137.900
1225,24879.300
1226,27223.400
1227,43512.400
1228,5479.300
1229,13853.200
1230,13573.700
1231,9149.900
1232,135174.100
1233,10196.700
1234,10336.300
1235,9469.300
1236,5130.100
1237,37894.900
1238,7095.400
1239,9751.500
1240,11130.100
1241,14404.500
1242,24421.700
1243,7115.800
1244,10295.100
1245,35714.800
1246,8979.000
1247,8657.400
1248,44317.900
1249,14549.500
1250,9771.600
1251,8564.400
1252,17815.100
1253,8778.500
1254,13869.600
1255,7818.100
1256,5545.200
1257,176329.500
1258,4679.400
1259,5012.500
1260,4027.800
1261,201342.900
1262,4121.500
1263,6349.400
1264,3700.700
1265,5929.400
1266,27003.600
1267,254131.400
1268,5180.200
1269,26834.700
1270,5510.700
1271,6608.700
1272,6294.600
1273,8262.700
1274,19617.600
1275,35110.900
1276,5287.800
1277,18043.900
1278,5856.900
1279,9491.800
1280,10195.800
1281,8840.600
1282,7476.600
1283,26299.300
1284,6695.000
1285,5901.000
1286,8531.300
1287,9063.300
1288,24310.600
1289,13418.700
1290,3688.900
1291,3852.300
1292,4181.600
1293,7232.000
1294,9627.000
1295,7261.500
1296,6511.500
1297,7237.400
1298,11801.100
1299,8149.900
1300,4809.900
1301,10845.800
1302,3697.200
1303,5464.000
1304,15793.200
1305,13195.000
1306,5842.200
1307,13516.800
1308,17254.900
1309,200744.000
1310,15124.900
1311,30789.100
1312,13674.000
1313,16109.200
1314,8393.000
1315,20643.500
1316,15005.500
1317,4332.000
1318,6375.300
1319,9569.900
1320,7953.200
1321,5581.700
1322,12940.900
1323,7609.300
1324,5942.500
1325,4014.200
1326,5409.300
1327,27536.400
1328,5617.600
1329,194261.300
1330,5110.800
1331,3718.100
1332,3396.900
1333,20360.400
1334,4110.800
1335,4168.700
1336,7099.600
1337,19543.800
1338,10780.300
1339,7591.500
1340,12300.400
1341,11365.400
1342,6089.600
1343,7979.400
1344,12845.900
1345,16066.800
1346,7026.100
1347,23739.300
1348,3835.100
1349,6695.500
1350,23568.200
1351,7952.500
1352,14051.900
1353,6124.400
1354,9871.500
1355,8814.600
1356,4043.500
1357,5655.700
1358,9901.000
1359,12037.300
1360,12420.900
1361,209539.400
1362,4730.900
1363,3615.600
1364,3847.800
1365,17794.400
1366,8654.800
1367,8601.000
1368,17198.300
1369,9793.300
1370,4806.900
1371,4346.200
1372,5702.000
1373,26145.900
1374,4628.300
1375,8148.900
1376,21946.700
1377,9356.100
1378,10104.100
1379,13248.800
1380,16339.900
1381,9904.700
1382,11832.200
1383,18581.600
1384,9884.900
1385,4064.200
1386,5877.600
1387,11440.100
1388,15793.700
1389,27967.000
1390,4412.400
1391,18186.200
1392,15925.800
1393,5031.700
1394,7334.000
1395,15323.200
1396,20597.200
1397,16008.800
1398,19504.700
1399,8369.700
1400,6901.000
1401,7352.400
1402,5810.800
1403,5245.700
1404,10162.300
1405,7534.500
1406,16830.500
1407,19816.900
1408,4948.900
1409,12960.200
1410,9799.000
1411,10110.900
1412,21127.600
1413,18445.200
1414,16928.800
1415,6657.900
1416,6814.700
1417,7471.100
1418,9543.700
1419,9595.500
1420,31373.900
1421,3972.800
1422,23346.000
1423,7037.600
1424,13136.800
1425,13485.600
1426,13908.400
1427,12663.300
1428,4509.700
1429,4233.000
1430,6565.900
1431,6916.900
1432,26737.500
1433,19913.300
1434,12247.300
1435,6271.600
1436,6477.300
1437,7359.800
1438,10876.400
1439,13004.900
1440,16706.900
1441,11012.100
1442,4441.600
1443,4045.700
1444,31644.800
1445,22012.700
1446,7921.100
1447,7456.200
1448,22980.200
1449,20984.400
1450,11823.400
1451,14528.100
1452,48242.400
1453,9918.300
1454,5257.200
1455,26412.300
1456,10035.200
1457,38367.200
1458,4654.700
1459,15066.400
1460,19452.400
1461,18022.800
1462,6095.900
1463,3846.900
1464,25347.000
1465,12247.100
